Title,URL,Abstract,Year
Self-vectoring electromagnetic soft robots with high operational dimensionality,https://www.nature.com/articles/s41467-023-35848-y,"Soft robots capable of flexible deformations and agile locomotion similar to biological systems are highly desirable for promising applications, including safe human-robot interactions and biomedical engineering. Their achievable degree of freedom and motional deftness are limited by the actuation modes and controllable dimensions of constituent soft actuators. Here, we report self-vectoring electromagnetic soft robots (SESRs) to offer new operational dimensionality via actively and instantly adjusting and synthesizing the interior electromagnetic vectors (EVs) in every flux actuator sub-domain of the robots. As a result, we can achieve high-dimensional operation with fewer actuators and control signals than other actuation methods. We also demonstrate complex and rapid 3D shape morphing, bioinspired multimodal locomotion, as well as fast switches among different locomotion modes all in passive magnetic fields. The intrinsic fast (re)programmability of SESRs, along with the active and selective actuation through self-vectoring control, significantly increases the operational dimensionality and possibilities for soft robots.",2023
Electromagnetic Observations of Carotid Blood Flow Changes in the Conscious Rat in Response to Sensory Stimuli,https://www.nature.com/articles/201573a0,"Kolin, A., and Kado, R. T.,Proc. U.S. Nat. Acad. Sci.,45, 1312 (1959).ArticleADSCASGoogle ScholarGlasser, O.,Medical Phys.,3, 141 (1960).Google ScholarRyan, D. P.,IEEE, Trans. Biomed. Electr.,10, 57 (1963).CASGoogle ScholarKolin, A.,Science,130, 1088 (1959).ArticleADSCASGoogle ScholarKolin, A., and Wisshaupt, R.,IEEE, Trans. Biomed. Electr.,10, 60 (1963).Google ScholarCox, P., Arora, H., and Kolin, A.,IEEE, Trans. Biomed. Electr.(in the press).Download references",1964
Direct observation of ideal electromagnetic fluids,https://www.nature.com/articles/s41467-022-32187-2,"Near-zero-index (NZI) media have been theoretically identified as media where electromagnetic radiations behave like ideal electromagnetic fluids. Within NZI media, the electromagnetic power flow obeys equations similar to those of motion for the velocity field in an ideal fluid, so that optical turbulence is intrinsically inhibited. Here, we experimentally observe the electromagnetic power flow distribution of such an ideal electromagnetic fluid propagating within a cutoff waveguide by a semi-analytical reconstruction technique. This technique provides direct proof of the inhibition of electromagnetic vorticity at the NZI frequency, even in the presence of complex obstacles and topological changes in the waveguide. Phase uniformity and spatially-static field distributions, essential characteristics of NZI materials, are also observed. Measurement of the same structure outside the NZI frequency range reveals existence of vortices in the power flow, as expected for conventional optical systems. Therefore, our results provide an important step forward in the development of ideal electromagnetic fluids, and introduce a tool to explore the subwavelength behavior of NZI media including fully vectorial and phase information.",2022
Improved adaptive regularization for simulated annealing inversion of transient electromagnetic,https://www.nature.com/articles/s41598-024-55710-5,"Geophysical inversion usually involves ill-posed problem. Regularization is the most commonly used method to mitigate this problem. There are many regularization parameter selection methods, among which the adaptive regularization method can automatically update parameters during iteration, reducing the difficulty of parameter selection. Therefore, it is widely used in linear inversion. However, there are very few studies on the use of adaptive regularization methods in stochastic optimization algorithms. The biggest difficulty is that in stochastic optimization algorithms, the search direction of any iteration is completely random. Data fitting term and stabilizing term vary in a wide range, making it difficult for traditional methods to work. In this paper, we consider the contributions of the data fitting term and the stabilizing term in the objective function and give an improved adaptive regularization method for very fast simulated annealing (VFSA) inversion for transient electromagnetic (TEM) data. The optimized method adjusts the two terms dynamically to make them in balance. We have designed several numerical experiments, and the experimental results demonstrate that the method in this paper not only accelerates the convergence, but also the inversion results are very little affected by the initial regularization parameter. Finally, we apply this method to field data, and the inversion results show very good agreements with nearby borehole data.",2024
Unique Huygens-Fresnel electromagnetic transportation of chiral Dirac wavelet in topological photonic crystal,https://www.nature.com/articles/s41467-023-38325-8,"Light propagates in various ways depending on environment, including uniform medium, surface/interface and photonic crystals, which appears ubiquitously in daily life and has been exploited for advanced optics technology. We unveiled that a topological photonic crystal exhibits unique electromagnetic (EM) transport properties originating from the Dirac frequency dispersion and multicomponent spinor eigenmodes. Measuring precisely local Poynting vectors in microstrips of honeycomb structure where optics topology emerges upon a band gap opening in the Dirac dispersion and ap-dband inversion induced by a Kekulé-type distortion respectingC6vsymmetry, we showed that a chiral wavelet induces a global EM transportation circulating in the direction counter to the source, which is intimately related to the topological band gap specified by a negative Dirac mass. This brand-new Huygens-Fresnel phenomenon can be considered as the counterpart of negative refraction of EM plane waves associated with upwardly convex dispersions of photonic crystals, and our present finding is expected to open a new window for photonic innovations.",2023
Highly confined epsilon-near-zero and surface phonon polaritons in SrTiO3membranes,https://www.nature.com/articles/s41467-024-47917-x,"Recent theoretical studies have suggested that transition metal perovskite oxide membranes can enable surface phonon polaritons in the infrared range with low loss and much stronger subwavelength confinement than bulk crystals. Such modes, however, have not been experimentally observed so far. Here, using a combination of far-field Fourier-transform infrared (FTIR) spectroscopy and near-field synchrotron infrared nanospectroscopy (SINS) imaging, we study the phonon polaritons in a 100 nm thick freestanding crystalline membrane of SrTiO3transferred on metallic and dielectric substrates. We observe a symmetric-antisymmetric mode splitting giving rise to epsilon-near-zero and Berreman modes as well as highly confined (by a factor of 10) propagating phonon polaritons, both of which result from the deep-subwavelength thickness of the membranes. Theoretical modeling based on the analytical finite-dipole model and numerical finite-difference methods fully corroborate the experimental results. Our work reveals the potential of oxide membranes as a promising platform for infrared photonics and polaritonics.",2024
Natural Resources of the Moon,https://www.nature.com/articles/195423a0,"Vestine, E. H.,RAND Res. Mem., 2106 (1958).Green, J.,Geophysics as Applied to Lunar Exploration, Final Report under ContractAF19(604)–5886,AFCRL–TR–60–409 (1960).Watson, K., Murray, G., and Brown, H.,J. Geophys. Res.,66, 1598 (1961).ArticleADSGoogle ScholarKozyrev, N.,Sky and Telescope,18, 184 (1959).ADSGoogle ScholarUrey, H. C.,Astrophys. J.,134, 268 (1961).ArticleADSCASGoogle ScholarBaldwin, N. B.,The Face of the Moon(Univ. Chicago Press, 1949).Google ScholarHibbs, A. R.,Planetary and Space Sci.,8, 121 (1961).ArticleADSGoogle ScholarMezger, P. S., and Strassel, H.,Planetary and Space Sci.,1, 213 (1959).ArticleADSGoogle ScholarMedd, W. J., and Broten, N. W.,Planetary and Space Sci.,5, 307 (1961).ArticleADSGoogle ScholarBaldwin, J. E.,Mon. Not. Roy. Astro. Soc.,122, 513 (1961).ArticleADSGoogle ScholarSalisbury, J. W.,Astrophys. J.,134, 126 (1961).ArticleADSGoogle ScholarBulow, K.,Tektonische Analyse der Mondrinde: Geologie,6/7, 565 (1958).Google ScholarFielder, G.,Lunar-Planetary Exploration Colloquium,1, No. 4, 14 (1959).Google ScholarHackman, R. J.,Generalized Photogeologic Map of the Moon.Scale 1 : 3,800,000: Photogeologic Map No. 7–60, printed by the Army Map Service, Corps of Engineers (1960).Press, F., Buwalda, P., and Neugebauer, M.,J. Geophys. Res.,65, 3097 (1960).ArticleADSGoogle ScholarDownload references",1962
Electric field correlation measurements on the electromagnetic vacuum state,https://www.nature.com/articles/s41586-019-1083-9,"Quantum mechanics ascribes to the ground state of the electromagnetic radiation1zero-point electric field fluctuations that permeate empty space at all frequencies. No energy can be extracted from the ground state of a system, and therefore these fluctuations cannot be measured directly with an intensity detector. The experimental proof of their existence therefore came from more indirect evidence, such as the Lamb shift2,3,4, the Casimir force between close conductors5,6,7or spontaneous emission1,8. A direct method of determining the spectral characteristics of vacuum field fluctuations has so far been missing. Here we perform a direct measurement of the field correlation on these fluctuations in the terahertz frequency range by using electro-optic detection9in a nonlinear crystal placed in a cryogenic environment. We investigate their temporal and spatial coherence, which, at zero time delay and spatial distance, has a peak value of 6.2 × 10−2volts squared per square metre, corresponding to a fluctuating vacuum field10,11of 0.25 volts per metre. With this measurement, we determine the spectral components of the ground state of electromagnetic radiation within the bandwidth of our electro-optic detection.",2019
Optimizing an electromagnetic wave absorber for bi-anisotropic metasurfaces based on toroidal modes,https://www.nature.com/articles/s41598-024-59503-8,"The design and optimization of an electromagnetic wave absorber for far-field wireless power transmission (WPT) is the subject of this research study. The goal of the research is to effectively absorb energy from ambient RF electromagnetic waves without the usage of a ground plane by employing metasurfaces with chiral components.By integrating trioidal moments into the design theory, the objective is to create a metasurface that functions in two frequency bands and produces high-quality resonance. The study also explores the dual non-homogeneity property of structures, polarization tensor coefficients, and the electromagnetic response of non-homogeneous metasurfaces. Based on the relative orientation of induced fields and moments, it delves deeper into the two basic possibilities for dual non-homogeneous elements. The development of chiral metasurfaces and the notion of electromagnetic chirality and its implications for polarization properties are introduced.",2024
Optical manipulation of the charge-density-wave state in RbV3Sb5,https://www.nature.com/articles/s41586-024-07519-5,"Broken time-reversal symmetry in the absence of spin order indicates the presence of unusual phases such as orbital magnetism and loop currents1,2,3,4. The recently discovered kagome superconductors AV3Sb5(where A is K, Rb or Cs)5,6display an exotic charge-density-wave (CDW) state and have emerged as a strong candidate for materials hosting a loop current phase. The idea that the CDW breaks time-reversal symmetry7,8,9,10,11,12,13,14is, however, being intensely debated due to conflicting experimental data15,16,17. Here we use laser-coupled scanning tunnelling microscopy to study RbV3Sb5. By applying linearly polarized light along high-symmetry directions, we show that the relative intensities of the CDW peaks can be reversibly switched, implying a substantial electro-striction response, indicative of strong nonlinear electron–phonon coupling. A similar CDW intensity switching is observed with perpendicular magnetic fields, which implies an unusual piezo-magnetic response that, in turn, requires time-reversal symmetry breaking. We show that the simplest CDW that satisfies these constraints is an out-of-phase combination of bond charge order and loop currents that we dub a congruent CDW flux phase. Our laser scanning tunnelling microscopy data open the door to the possibility of dynamic optical control of complex quantum phenomenon in correlated materials.",2024
The development of the soderberg electrolyzer electromagnetic field’s state monitoring system,https://www.nature.com/articles/s41598-024-52002-w,"This study is devoted to improving the economic efficiency of the cell, due to the field of the generated electromagnetic field’s accurate diagnostics. To solve this problem, the authors had developed a hardware-software complex for electromagnetic field diagnostics. This complex includes a measurement device and a software package for data collection and analysis. On the laboratory prototype of the aluminum electrolysis complex, a study was carried out on the formation and structure of the electromagnetic field. A number of experiments have been carried out showing the degree of formation of the electromagnetic field by the anode, the relationship of electromagnetic fields in the inter-anode space has been shown. Based on the results of the studies, conclusions were drawn about the possibility of diagnosing the current state of the anode, determining the direction of rotation of aluminum in the electrolytic cell and estimating the life of the anode and its burnout time.",2024
Supertoroidal light pulses as electromagnetic skyrmions propagating in free space,https://www.nature.com/articles/s41467-021-26037-w,"Topological complex transient electromagnetic fields give access to nontrivial light-matter interactions and provide additional degrees of freedom for information transfer. An important example of such electromagnetic excitations are space-time non-separable single-cycle pulses of toroidal topology, the exact solutions of Maxwell’s equations described by Hellwarth and Nouchi in 1996 and recently observed experimentally. Here we introduce an extended family of electromagnetic excitation, the supertoroidal electromagnetic pulses, in which the Hellwarth-Nouchi pulse is just the simplest member. The supertoroidal pulses exhibit skyrmionic structure of the electromagnetic fields, multiple singularities in the Poynting vector maps and fractal-like distributions of energy backflow. They are of interest for transient light-matter interactions, ultrafast optics, spectroscopy, and toroidal electrodynamics.",2021
Modeling of electromagnetic propagation inside jet engine environment using statistical electromagnetic approach,https://www.nature.com/articles/s41598-024-53529-8,"In this paper, the distribution of the electromagnetic field inside a complex jet engine environment is analyzed using statistical electromagnetics. The jet engine environment is an extremely complex geometry and exhibits random behavior due to the presence of moving metallic parts. This renders traditional analytical and simulation modeling techniques highly inefficient. To address this issue, two different approaches are proposed to model the propagation characteristics of the jet engine environment. The first is an innovative dynamic system approach based on dynamic system simulation which is inspired by the analysis of mechanically stirred reverberation chambers. In the dynamic system simulation the dynamic system, which is characterized by the rotation of a distinct set of blades, is primarily studied through the simulation program. A dimension scaling method is also introduced along with the dynamic system simulation to solve the complex jet engine environment. In the second approach, a novel statistical excitation method is applied to develop an equivalent model for the dynamic jet engine system. The studied jet engine is considered as a static jet engine system without blade rotation (static blades), but with a random excitation.A small signal analysis method is used to integrate the static and dynamic system parameters to generate random excitation characteristics of the static system. The extracted electric field values from the dynamic jet engine simulation environment and the static system field values from the small signal analysis have been analyzed statistically to prove the statistical equality between the two systems. The numerical results of the static system model are presented and verified through comparison with finite element method simulation packages.",2024
